Date,Category,Product Brand Name And Type,Barcode,Quantity,Unit,Unit Weight (Kg),Total Weight (Kg),Unit Price (GBP),Total Price (GBP),Location/Store
03-07-2024,Fresh vegetables,"Banana Each (C), Fruit and Veg",3049488,22,Item,0.23,4.99,0.27,5.94,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Mixed Peppers 420G (C), Fruit and Veg",3274880,7,Item,0.57,3.96,2.2,13.3,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Babyleaf Salad 90G, Fruit and Veg",3312957,2,Item,0.1,0.19,1.1,2.2,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Spinach 250G, Fruit and Veg",3285732,1,Item,0.28,0.28,1.3,1.3,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Red Onions (C), Fruit and Veg",10061503,1,Item,0.59,0.59,1.1,1.1,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Sweet & Crunchy Salad 250G, Fruit and Veg",3336922,14,Item,0.25,3.47,0.85,11.9,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Tomato & Mozzarella Salad Bowl 220G, Fruit and Veg",3296349,3,Item,0.25,0.76,2.75,9.3,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Granny Smith Apple 6 Pack (C), Fruit and Veg",3249499,1,Item,0.87,0.87,1.95,1.95,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Red Chillies 60G, Fruit and Veg",3264195,1,Item,0.07,0.07,0.7,0.65,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Mixed Vegetables 225G (C), Fruit and Veg",3271162,3,Item,0.24,0.71,1.5,4.8,Market Drayton
03-07-2024,Fresh vegetables,"Tesco 4 Baking Potatoes, Fruit and Veg",3465707,1,Item,0.91,0.91,0.8,0.8,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Loose Red Peppers(C), Fruit and Veg",10057520,1,Item,0.23,0.23,0.65,0.65,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Egg Noodles 300G (C), Fruit and Veg",3265420,2,Item,0.32,0.63,1.45,2.9,Market Drayton
03-07-2024,Fresh vegetables,"Tesco Little Gem 2 Pack (C), Fruit and Veg",10006962,2,Item,0.26,0.52,0.85,1.7,Market Drayton
03-07-2024,Bread and bread products,"Tesco Large Seeded Burger Buns 4 Pack, Bakery",5.00036E+12,3,Item,0.36,1.07,0.9,2.7,Market Drayton
03-07-2024,Bread and bread products,"Tesco All Butter Almond Croissant (C), Bakery",3063330,5,Item,0.08,0.4,1.1,5.5,Market Drayton
03-07-2024,Bread and bread products,"Warburtons 4 Sliced Sandwich Rolls, Bakery",5.01004E+12,1,Item,0.3,0.3,1.5,1.7,Market Drayton
03-07-2024,Bread and bread products,"Tesco White Baton, Bakery",5.00012E+12,2,Item,0.23,0.45,0.8,1.6,Market Drayton
03-07-2024,Bread and bread products,"Tesco Vanilla Creme Crown, Bakery",5.05018E+12,1,Item,0.1,0.1,1.1,1.1,Market Drayton
03-07-2024,Bread and bread products,"Warburtons Wholemeal Rolls 6 Pack, Bakery",5.01004E+12,1,Item,0.32,0.32,1.45,1.45,Market Drayton
03-07-2024,Eggs,"Tesco Finest 2 Scotch Eggs 260G, Eggs",5.05775E+12,1,Item,0.27,0.27,3,3,Market Drayton
03-07-2024,Eggs,"St.Ewe Rich Yolk Free Range Eggs 6 Pack, Eggs",5.06016E+12,18,Item,0.42,7.47,2.9,52.2,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Houmous Red Pepper 182G, Fruit and Veg",5.05737E+12,1,Item,0.2,0.2,1.4,1.4,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Iceberg Lettuce Each (C), Fruit and Veg",3043868,2,Item,0.57,1.13,0.9,1.8,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Baby Corn 130G (C), Fruit and Veg",3271537,1,Item,0.15,0.15,1.4,1.3,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Peppery Babyleaf Rocket Salad 90G (C), Fruit and Veg",3282670,4,Item,0.1,0.4,1.35,6,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Reduced Fat Coleslaw-300g, Fruit and Veg",3430262,2,Item,0.31,0.62,1.1,2.2,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Mango Chunks 450G, Fruit and Veg",3315262,1,Item,0.45,0.45,3.95,3.95,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Gala Apple Minimum 5 Pack (C), Fruit and Veg",3249505,1,Item,0.8,0.8,1.95,1.95,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Greek Salad 185G, Fruit and Veg",3310700,1,Item,0.23,0.23,3.1,3.1,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Little Gem 2 Pack (C), Fruit and Veg",10006962,6,Item,0.26,1.55,0.85,5.1,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Coriander 15G (C), Fruit and Veg",3268650,2,Item,0.02,0.04,0.85,1.7,Market Drayton
04-07-2024,Fresh vegetables,"Jaffa Orange Minimum 4 Pack (C), Fruit and Veg",10004241,1,Item,0.75,0.75,2.3,2.3,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Finest Spinach Pinenut Pasta 215G, Fruit and Veg",10112137,3,Item,0.23,0.7,2.5,8.7,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Mint 15G (C), Fruit and Veg",3268681,1,Item,0.01,0.01,0.75,0.75,Market Drayton
04-07-2024,Fresh vegetables,"Tesco Core Ripen At Home Plum 400G (C), Fruit and Veg",3274743,1,Item,0.47,0.47,1.6,1.6,Market Drayton
04-07-2024,Bread and bread products,"Warburtons Fruit Teacakes 4 Pack, Bakery",5.01004E+12,1,Item,0.26,0.26,1.45,1.45,Market Drayton
04-07-2024,Bread and bread products,"Warburton 4 Protein Thin Bagels, Bakery",5.01004E+12,1,Item,0.25,0.25,1.85,1.85,Market Drayton
04-07-2024,Bread and bread products,"Tesco All Butter Almond Croissant (C), Bakery",3063330,4,Item,0.08,0.32,1.1,4.4,Market Drayton
04-07-2024,Bread and bread products,"Warburtons Wholemeal Rolls 6 Pack, Bakery",5.01004E+12,1,Item,0.32,0.32,1.45,1.45,Market Drayton
04-07-2024,Bread and bread products,"Warburtons Toastie Sliced White Bread 800G, Bakery",5.01004E+12,2,Item,0.82,1.63,1.55,3.1,Market Drayton
04-07-2024,Bread and bread products,"Tesco White Baton, Bakery",5.00012E+12,1,Item,0.23,0.23,0.8,0.8,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Fridge Raiders Southern Style Chicken Bites 3X22.5G, Chilled",5.00018E+12,2,Item,0.07,0.15,1.85,3.7,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco British Crumbed Ham Slices Big Pack 400 G, Chilled",5.05291E+12,1,Item,0.43,0.43,5.5,5.75,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco British Cooked Ham 120g, Chilled",5.0597E+12,1,Item,0.13,0.13,2.2,2.2,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco Cauliflower Cheese 350G, Chilled",5.01837E+12,1,Item,0.4,0.4,2.2,2.2,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco Chicken & Bacon Sandwich Filler 235g (C), Chilled",5.0597E+12,2,Item,0.24,0.48,2.15,4.3,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Alpro Coconut Original Chilled Dairy Free Drink 1L, Chilled",5.41119E+12,2,Item,1.05,2.09,2.3,4.6,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco Cheese & Onion Sandwich, Chilled",3022177,1,Item,0.18,0.18,1.5,1.5,Market Drayton
04-07-2024,Chilled products with dairy and eggs,"Tesco British Smoked Ham 120g, Chilled",5.0597E+12,1,Item,0.13,0.13,2.2,2.2,Market Drayton
05-07-2024,Chilled products with dairy and eggs,"Tesco Thai Green Chicken Curry & Jasmine Rice 400G, Chilled",5.0597E+12,1,Item,0.43,0.43,3.5,3.5,Market Drayton
05-07-2024,Chilled products with dairy and eggs,"Tesco Smoked Ham And Cheddar Cheese Sandwich, Chilled",3001011,3,Item,0.18,0.53,2.75,7.8,Market Drayton
